공시대상회사,회사코드,rpt_nm,공시접수일자,타법인명,문서내용,뉴스기사제목,뉴스기사Url
에이치엘비생명과학,067630,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191115,에이치엘비(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191115000268,http://www.businesspost.co.kr/BP?command=article_view&num=151581,http://www.businesspost.co.kr/BP?command=article_view&num=151581
티제이파트너스,01410231,타법인주식및출자증권취득결정,20191115,동고택시(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191115000161,None,None
카리스국보,001140,주요사항보고서(타법인주식및출자증권양수결정),20191115,흥아해운(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191115000111,https://www.asiatime.co.kr/news/newsview.php?ncode=1065605776799619,https://www.asiatime.co.kr/news/newsview.php?ncode=1065605776799619
골드퍼시픽,038530,주요사항보고서(타법인주식및출자증권양수결정),20191114,조광아이엘아이(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002673,None,None
행남사,008800,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191114,영화사월광,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002612,http://www.sisaweek.com/news/articleView.html?idxno=127864,http://www.sisaweek.com/news/articleView.html?idxno=127864
행남사,008800,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191114,사나이픽쳐스,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002599,http://www.sisaweek.com/news/articleView.html?idxno=127864,http://www.sisaweek.com/news/articleView.html?idxno=127864
에이아이비트,039230,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191114,미래세라텍,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002454,http://www.sentv.co.kr/news/view/561422,http://www.sentv.co.kr/news/view/561422
액트,131400,주요사항보고서(타법인주식및출자증권양수결정),20191114,조광아이엘아이(주),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002233,None,None
알란텀,00687164,타법인주식및출자증권취득결정,20191114,AATM(Dalian)(China),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114000874,None,None
광림,014200,주요사항보고서(타법인주식및출자증권양수결정),20191113,남영비비안,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191113000582,https://view.asiae.co.kr/article/2019111407533547800,https://view.asiae.co.kr/article/2019111407533547800
에스에프씨,112240,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191112,빌리,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191112000206,None,None
에스에프씨,112240,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191112,오디컴퍼니,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191112000202,None,None
KJ프리텍,083470,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20191112,해덕파워웨이,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191112000131,http://www.fintechpost.co.kr/news/articleView.html?idxno=89037,http://www.fintechpost.co.kr/news/articleView.html?idxno=89037
